Title,Artist,URL
Die With A Smile, Bruno Mars & Lady Gaga, https://youtu.be/zgaCZOQCpp8?si=Ds_xF-CtevNAVcWu 
Beautiful Things, Benson Boone, https://www.youtube.com/watch?v=Eg1iktuRfu8&ab_channel=LatinNow
Debut, KATSEYE, https://youtu.be/bYg6aMDQ_TA?si=VKnjLTFhgYu-G0Ad
Touch, KATSEYE, https://youtu.be/l9CZykYZkOQ?si=fz6wRHm9M67hBPVq 
Anxiety, Doechii, https://youtu.be/1EF0VOd3WGA?si=Wh_29e9NL4UBxbd2 
Hands Up, MEOVV, https://youtu.be/YJpTUGzyjrA?si=ktgc2Y8mkatcICqk 
DRIP, BABYMONSTER, https://youtu.be/cXvi0qdC6FU?si=Teko7kq6KF2CSono
Klaxon, i-dle, https://youtu.be/rTKqSmX9XhQ?si=APPkLVkvRuPfyZST 
HOT, LE SSERAFIM, https://youtu.be/r9AEGPB6qIU?si=dNT3xM0Npo9p-DL2   
CRAZY, LE SSERAFIM, https://youtu.be/n6B5gQXlB-0?si=BPzIR-RdeO_stXoK 
Magnetic, ILLIT, https://youtu.be/Vk5-c_v4gMU?si=sOUKWb0j_eBcLGlV
ATTITUDE, IVE, https://youtu.be/RVhY4yOYZ_4?si=lErMsc-RAft3XbTh 
REBEL HEART, IVE, https://youtu.be/sJWzsH9Y4KY?si=P45OVI9gjDT7vqGH 
Whiplash, aespa, https://youtu.be/jWQx2f-CErU?si=gQG-eSAKyXvEHiR7 
I CAN’T STOP ME, TWICE, https://youtu.be/CM4CkVFmTds?si=qoLpZftuEEbLZQd0 
Psycho, Red Velvet, https://youtu.be/uR8Mrt1IpXg?si=Jcvnssz5cdARs7Le 
DALLA DALLA, ITZY, https://youtu.be/pNfTK39k55U?si=qnqJQDk9Za3t5Urm 
Cheshire, ITZY, https://youtu.be/zugAhfd2r0g?si=VjusuUxibB9oHYxj 
ETA, New Jeans, https://youtu.be/jOTfBlKSQYY?si=WLv39IXs49Gpao-n 
blue, yung kai, https://youtu.be/4adZ7AguVcw?si=xJtffvHOnDt5G4Gy 
Ordinary, Alex Warren, https://youtu.be/u2ah9tWTkmk?si=T5LaAGts1Jy7LI1B 
back to friends, sombr, https://youtu.be/c8zq4kAn_O0?si=XPQgi7jMDQDLdm2R 
DUN DUN, EVERGLOW, https://youtu.be/NoYKBAajoyo?si=FdzpBWRCePP4umsf 
SLAY, EVERGLOW, https://youtu.be/jI5p2ePoVcc?si=4INVtIcVHUK8kY3l 
FIRST, EVERGLOW, https://youtu.be/Z3RA7bi5FUM?si=4Z_RNP-NkAiPK7t2 
Please Please Please, Sabrina Carpenter, https://youtu.be/Pz4L3HML6l8?si=nRAd8eZU5tB2QrFZ
FOREVER, BABYMONSTER, https://youtu.be/eJCHKjt0MPw?si=PshTv7Lt6OCcFWAA
ELEVEN, IVE, https://youtu.be/e91HyUPLaMM?si=uW2OIXS3nutfEZcL
Taste, Sabrina Carpenter, https://youtu.be/4Mk-6QK-Pqg?si=cjZWyatfRLCK2IOn
Riptide, Vance Joy, https://youtu.be/g9CUpmGmAn8?si=oAqpxNLflVI43WHw 
